id,latitude,longitude,L12,L13,L14,L15,L16,L17
2889479941264608,40.703006298365,-73.907958734978,89c25c3,89c25c24,89c25c21,89c25c20c,89c25c20d,89c25c20dc
470339360870228,40.703226679422,-73.946100797847,89c25bf,89c25bfc,89c25bfb,89c25bfb4,89c25bfb1,89c25bfb1c
158015422936797,40.700756843778,-73.944660583691,89c25bf,89c25bfc,89c25bfb,89c25bfa4,89c25bfa7,89c25bfa7c
119693733463073,40.704238053591,-74.017588937339,89c25a1,89c25a14,89c25a13,89c25a124,89c25a127,89c25a1274
143184777778030,40.701245285237,-73.988217105383,89c25a3,89c25a34,89c25a35,89c25a344,89c25a341,89c25a3404
765032917513940,40.700058546773,-73.940560466285,89c25bf,89c25bfc,89c25bf9,89c25bf9c,89c25bf9f,89c25bf9e4
603555767703347,40.701488010287,-73.96371938412,89c25bd,89c25bc4,89c25bc3,89c25bc34,89c25bc31,89c25bc314
2574578982836654,40.701457917455,-73.908403979612,89c25c3,89c25c24,89c25c21,89c25c214,89c25c211,89c25c2114
165618315490826,40.702071168506,-73.915585960441,89c25c1,89c25c1c,89c25c1f,89c25c1ec,89c25c1ed,89c25c1edc
482715506266848,40.702492422864,-73.928769210924,89c25c1,89c25c04,89c25c05,89c25c044,89c25c041,89c25c040c
154673606621551,40.70076667519,-73.957401712037,89c25bf,89c25bec,89c25be9,89c25be84,89c25be85,89c25be844
771872320129968,40.702449008775,-74.015808868274,89c25a1,89c25a14,89c25a13,89c25a12c,89c25a12f,89c25a12fc
470778194189199,40.704969027297,-73.91863697256,89c25c1,89c25c1c,89c25c1d,89c25c1dc,89c25c1dd,89c25c1ddc
762996527717777,40.703676877654,-73.942641980619,89c25bf,89c25bfc,89c25bfb,89c25bfbc,89c25bfbf,89c25bfbec
214222270136259,40.702139224744,-73.960431149666,89c25bd,89c25bc4,89c25bc3,89c25bc2c,89c25bc2b,89c25bc2b4
175214827819064,40.700561269677,-73.913554360474,89c25c1,89c25c1c,89c25c19,89c25c18c,89c25c18b,89c25c18b4
251495460040708,40.702330862767,-73.906829712203,89c25c3,89c25c24,89c25c21,89c25c20c,89c25c20d,89c25c20d4
522771575387061,40.705196961213,-73.959160021256,89c25bf,89c25be4,89c25be7,89c25be74,89c25be77,89c25be77c
3958588830890615,40.70126050103,-74.013537939507,89c25a1,89c25a14,89c25a13,89c25a134,89c25a135,89c25a1344
514817386227221,40.705326288426,-73.94290805754,89c25bf,89c25bfc,89c25bfd,89c25bfc4,89c25bfc1,89c25bfc0c
