latitude,longitude,tile_x,tile_y,tile_z,road_name,Status
43.7372395,7.423497,34119,23896,16,,Done
43.7371926,7.4235208,34119,23896,16,,Done
43.7372905,7.4234712,34119,23896,16,,Done
43.7372639,7.4236087,34119,23896,16,Avenue d'Ostende,
43.7372681,7.4236281,34119,23896,16,Avenue d'Ostende,
43.7371615,7.4231363,34119,23896,16,Avenue d'Ostende,
43.7371175,7.4229093,34119,23896,16,Avenue d'Ostende,
43.737098,7.4227884,34119,23896,16,Avenue d'Ostende,
43.7370944,7.4227661,34119,23896,16,Avenue d'Ostende,
43.7370662,7.422551,34119,23896,16,Avenue d'Ostende,
43.7370216,7.4221175,34119,23896,16,Avenue d'Ostende,
43.7389156,7.4259881,34119,23896,16,Avenue Princesse Alice,
43.7389667,7.4259055,34119,23896,16,Avenue Princesse Alice,
43.7390187,7.4258325,34119,23896,16,Avenue Princesse Alice,
43.7388571,7.42609,34119,23896,16,Avenue Princesse Alice,
43.7387673,7.4262495,34119,23896,16,Avenue Princesse Alice,
43.7393282,7.4256829,34119,23896,16,Avenue Princesse Alice,
43.7393746,7.4256972,34119,23895,16,Avenue Princesse Alice,
43.7394273,7.4257083,34119,23895,16,Avenue Princesse Alice,
43.7394671,7.4257117,34119,23895,16,Avenue Princesse Alice,
43.7395025,7.4256947,34119,23895,16,Avenue Princesse Alice,
43.7395255,7.4256666,34119,23895,16,Avenue Princesse Alice,
43.7395534,7.4256163,34119,23895,16,Avenue Princesse Alice,
43.7395762,7.4255146,34119,23895,16,Avenue Princesse Alice,
43.739686,7.4252293,34119,23895,16,Avenue Princesse Alice,
43.7392799,7.4256755,34119,23896,16,Avenue Princesse Alice,
43.7392435,7.4256762,34119,23896,16,Avenue Princesse Alice,
43.7392043,7.4256877,34119,23896,16,Avenue Princesse Alice,
43.7391631,7.4257041,34119,23896,16,Avenue Princesse Alice,
43.7391205,7.4257296,34119,23896,16,Avenue Princesse Alice,
43.7390784,7.4257668,34119,23896,16,Avenue Princesse Alice,
43.7393016,7.4255934,34119,23896,16,,
43.7391932,7.4255375,34119,23896,16,,
43.7391621,7.4255265,34119,23896,16,,
43.7391389,7.4255456,34119,23896,16,,
43.7391175,7.4255748,34119,23896,16,,
43.7390826,7.425725,34119,23896,16,,
43.7397216,7.4251499,34119,23895,16,Avenue Princesse Alice,
43.7397051,7.425098,34119,23895,16,Impasse de la Fontaine,
43.7396877,7.4251233,34119,23895,16,Avenue de la Costa,
43.7397912,7.4251861,34119,23895,16,Avenue de la Costa,
43.7398009,7.4251916,34119,23895,16,Avenue de la Costa,
43.7399449,7.4252814,34119,23895,16,Avenue de la Costa,
43.7402125,7.4254489,34119,23895,16,Avenue de la Costa,
43.7402526,7.4254724,34119,23895,16,Avenue de la Costa,
43.7379155,7.4269003,34120,23896,16,,
43.7379712,7.4268901,34120,23896,16,,
43.7378506,7.4269102,34120,23896,16,,
